Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
20 m²,4 PN,3 WC,10000000000,Nhà mặt tiền,2025-06-27
34 m²,3 PN,2 WC,6650000000,"Nhà hẻm, ngõ",2025-06-27
70 m²,3 PN,2 WC,4350000000,"Tập thể, cư xá",2025-06-27
50 m²,,,60000000000,Nhà mặt tiền,2025-06-27
50 m²,2 PN,3 WC,3950000000,"Nhà hẻm, ngõ",2025-06-27
144 m²,4 PN,4 WC,28500000000,"Biệt thự, Villa",2025-06-27
330 m²,5 PN,5 WC,88000000000,Nhà mặt tiền,2025-06-27
52 m²,5 PN,5 WC,7450000000,Nhà mặt tiền,2025-06-27
80 m²,,,11500000000,"Nhà hẻm, ngõ",2025-06-27
2.600 m²,,,6500000000,"Đất nông nghiệp, kho bãi",2025-06-27
100 m²,4 PN,5 WC,13800000000,"Nhà hẻm, ngõ",2025-06-27
44 m²,4 PN,3 WC,5600000000,"Nhà hẻm, ngõ",2025-06-27
56 m²,2 PN,2 WC,5800000000,"Nhà hẻm, ngõ",2025-06-27
55 m²,2 PN,2 WC,4950000000,"Nhà hẻm, ngõ",2025-06-27
31 m²,3 PN,3 WC,4550000000,"Nhà hẻm, ngõ",2025-06-27
339 m²,30 PN,31 WC,39000000000,"Nhà hẻm, ngõ",2025-06-27
185 m²,27 PN,28 WC,39000000000,Nhà mặt tiền,2025-06-27
43 m²,3 PN,2 WC,5700000000,"Nhà hẻm, ngõ",2025-06-27
753 m²,,,1500000000,Đất thổ cư,2025-06-27
191 m²,,,1100000000,"Nhà hẻm, ngõ",2025-06-27
100 m²,,,500000000,Đất thổ cư,2025-06-27
15 m²,1 PN,2 WC,1550000000,"Nhà hẻm, ngõ",2025-06-27
200 m²,10 PN,10 WC,980000000,Nhà mặt tiền,2025-06-27
"61,5 m²",5 PN,6 WC,7900000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,4 PN,4 WC,7200000000,"Nhà hẻm, ngõ",2025-06-27
80 m²,2 PN,1 WC,9800000000,Nhà mặt tiền,2025-06-27
73 m²,10 PN,,17500000000,"Nhà hẻm, ngõ",2025-06-27
36 m²,2 PN,,4800000000,"Nhà hẻm, ngõ",2025-06-27
178 m²,15 PN,15 WC,1200000000,Nhà mặt tiền,2025-06-27
55 m²,6 PN,4 WC,8800000000,"Nhà hẻm, ngõ",2025-06-27
101 m²,,,12800000000,"Nhà hẻm, ngõ",2025-06-27
1.000 m²,,,899000000,"Đất nông nghiệp, kho bãi",2025-06-27
92 m²,2 WC,,6000000000,"Nhà hẻm, ngõ",2025-06-27
185 m²,2 PN,2 WC,16500000000,Nhà mặt tiền,2025-06-27
925 m²,,,30000000000,Nhà mặt tiền,2025-06-27
96 m²,,,5700000000,Đất thổ cư,2025-06-27
32 m²,,,4300000000,"Nhà hẻm, ngõ",2025-06-27
4 m²,4 PN,5 WC,7450000000,"Nhà hẻm, ngõ",2025-06-27
669 m²,,,790000000000,Nhà mặt tiền,2025-06-27
